title,authors,venue,year,citations,paper,preprint,code
Inference and visualization of complex genotype-phenotype maps,"Carlos Martí-Gómez, Juannan Zhou, Wei-Chia Chen, Arlin Stoltzfus, Justin B Kinney, David M McCandlish","Molecular Biology and Evolution, msag023, 2026",2026,,https://academic.oup.com/mbe/advance-article/doi/10.1093/molbev/msag023/8456298,,
A developmental timer coordinates organism-wide microRNA transcription,"Peipei Wu, Jing Wang, Brett Pryor, Isabella Valentino, David F Ritter, Kaiser Loel, Justin Kinney, Sevinc Ercan, Leemor Joshua-Tor, Christopher Martin Hammell","bioRxiv, 2026.01. 21.700890, 2026",2026,,,https://www.biorxiv.org/content/10.64898/2026.01.21.700890v1.full,
GaugeFixer: overcoming parameter non-identifiability in models of sequence-function relationships,"Carlos Martí-Gómez, David M McCandlish, Justin B Kinney","bioRxiv, 2025.12. 08.693054, 2025",2025,,,https://www.biorxiv.org/content/10.64898/2025.12.08.693054v1,https://github.com/jbkinney/gaugefixer
Structural basis of DNA-dependent coactivator recruitment by the tuft cell master regulator POU2F3,"Aktan Alpsoy, Jonathan J Ipsaro, Damianos Skopelitis, Sujay Pal, Frank S Chung, Shannon Carpenter, John J Desmarais, Xiaoli S Wu, Kenneth Chang, Matthew T DiMare, Erin Harten, Staci Bergman, Justin B Kinney, Jeffrey A Engelman, Hyo-Eun C Bhang, Leemor Joshua-Tor, Christopher R Vakoc","Cell reports 44 (11), 2025",2025,,https://www.cell.com/cell-reports/fulltext/S2211-1247(25)01344-0,,
Uncovering the mechanistic landscape of regulatory DNA with deep learning,"Evan E Seitz, David M McCandlish, Justin B Kinney, Peter K Koo","bioRxiv, 2025.10. 07.681052",2025,,,https://www.biorxiv.org/content/10.1101/2025.10.07.681052v1.abstract,
Inference and visualization of complex genotype-phenotype maps with gpmap-tools,"Carlos Martí-Gómez, Juannan Zhou, Wei-Chia Chen, Arlin Stoltzfus, Justin B Kinney, David M McCandlish","bioRxiv, 2025.03.09.642267",2025,,,https://www.biorxiv.org/content/10.1101/2025.03.09.642267v3,
HENMT1 restricts endogenous retrovirus activity by methylation of 3'-tRNA fragments,"Josh I Steinberg, Helene Sertznig, John J Desmarais, Jenna Wilken, Daisy Rubio, Matthew Peacey, Justin B Kinney, Andrea J Schorn","bioRxiv, 2025.05. 12.650695, 2025",2025,,,https://www.biorxiv.org/content/10.1101/2025.05.12.650695v1.full,
Algebraic and Diagrammatic Methods for the Rule-Based Modeling of Multiparticle Complexes,"Rebecca J Rousseau, Justin B Kinney","PRX Life 3 (2), 023004, 2025",2025,,https://journals.aps.org/prxlife/abstract/10.1103/PRXLife.3.023004,,
"On learning functions over biological sequence space: relating Gaussian process priors, regularization, and gauge fixing","Samantha Petti, Carlos Martí-Gómez, Justin B Kinney, Juannan Zhou, David M McCandlish",arXiv preprint arXiv:2504.19034,2025,,,https://arxiv.org/abs/2504.19034,
"Symmetry, gauge freedoms, and the interpretability of sequence-function relationships","Anna Posfai, David M McCandlish, Justin B Kinney","Physical Review Research 7 (2), 023005, 2025",2025,,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.7.023005,,https://github.com/evanseitz/seam-nn
